date,sex,age,ethnicity,population
2017-01-01,both,5-9,bumi_other,358.7
2017-01-01,both,5-9,chinese,408.1
2017-01-01,both,5-9,indian,142.2
2017-01-01,both,5-9,other_citizen,40.4
2017-01-01,both,5-9,other_noncitizen,95.6
2017-01-01,both,10-14,overall,2580.8
2017-01-01,both,10-14,bumi_malay,1482.9
2017-01-01,both,10-14,bumi_other,380.7
2017-01-01,both,10-14,chinese,465.8
2017-01-01,both,10-14,indian,160.7
2017-01-01,both,10-14,other_citizen,32.5
2017-01-01,both,10-14,other_noncitizen,58.1
2017-01-01,both,15-19,overall,2871.1
2017-01-01,both,15-19,bumi_malay,1518.3
2017-01-01,both,15-19,bumi_other,376.4
2017-01-01,both,15-19,chinese,513.2
2017-01-01,both,15-19,indian,172.7
2017-01-01,both,15-19,other_citizen,28.7
2017-01-01,both,15-19,other_noncitizen,261.9
2017-01-01,both,20-24,overall,3244.8
2017-01-01,both,20-24,bumi_malay,1508.9
2017-01-01,both,20-24,bumi_other,378.0
2017-01-01,both,20-24,chinese,537.8
2017-01-01,both,20-24,indian,176.0
2017-01-01,both,20-24,other_citizen,26.7
2017-01-01,both,20-24,other_noncitizen,617.3
2017-01-01,both,25-29,overall,3238.7
2017-01-01,both,25-29,bumi_malay,1452.8
2017-01-01,both,25-29,bumi_other,341.9
2017-01-01,both,25-29,chinese,542.7
2017-01-01,both,25-29,indian,179.8
2017-01-01,both,25-29,other_citizen,24.7
2017-01-01,both,25-29,other_noncitizen,696.8
2017-01-01,both,30-34,overall,2841.7
2017-01-01,both,30-34,bumi_malay,1325.7
2017-01-01,both,30-34,bumi_other,311.5
2017-01-01,both,30-34,chinese,536.1
2017-01-01,both,30-34,indian,178.2
2017-01-01,both,30-34,other_citizen,21.4
2017-01-01,both,30-34,other_noncitizen,468.8
2017-01-01,both,35-39,overall,2334.6
2017-01-01,both,35-39,bumi_malay,1068.5
2017-01-01,both,35-39,bumi_other,250.4
2017-01-01,both,35-39,chinese,499.7
2017-01-01,both,35-39,indian,158.2
2017-01-01,both,35-39,other_citizen,15.7
2017-01-01,both,35-39,other_noncitizen,342.0
2017-01-01,both,40-44,overall,1933.3
2017-01-01,both,40-44,bumi_malay,887.6
2017-01-01,both,40-44,bumi_other,208.8
2017-01-01,both,40-44,chinese,464.8
2017-01-01,both,40-44,indian,134.5
2017-01-01,both,40-44,other_citizen,11.4
2017-01-01,both,40-44,other_noncitizen,226.2
2017-01-01,both,45-49,overall,1755.4
2017-01-01,both,45-49,bumi_malay,827.8
2017-01-01,both,45-49,bumi_other,194.8
2017-01-01,both,45-49,chinese,457.2
2017-01-01,both,45-49,indian,126.8
2017-01-01,both,45-49,other_citizen,10.0
2017-01-01,both,45-49,other_noncitizen,138.9
2017-01-01,both,50-54,overall,1604.4
2017-01-01,both,50-54,bumi_malay,767.6
2017-01-01,both,50-54,bumi_other,173.7
2017-01-01,both,50-54,chinese,440.0
2017-01-01,both,50-54,indian,122.5
2017-01-01,both,50-54,other_citizen,9.6
2017-01-01,both,50-54,other_noncitizen,91.0
2017-01-01,both,55-59,overall,1383.8
2017-01-01,both,55-59,bumi_malay,664.9
2017-01-01,both,55-59,bumi_other,143.6
2017-01-01,both,55-59,chinese,400.9
2017-01-01,both,55-59,indian,110.0
2017-01-01,both,55-59,other_citizen,8.4
2017-01-01,both,55-59,other_noncitizen,56.1
2017-01-01,both,60-64,overall,1085.1
2017-01-01,both,60-64,bumi_malay,520.2
2017-01-01,both,60-64,bumi_other,103.2
2017-01-01,both,60-64,chinese,335.6
2017-01-01,both,60-64,indian,84.1
2017-01-01,both,60-64,other_citizen,6.4
2017-01-01,both,60-64,other_noncitizen,35.6
2017-01-01,both,65-69,overall,815.7
2017-01-01,both,65-69,bumi_malay,384.4
2017-01-01,both,65-69,bumi_other,68.0
2017-01-01,both,65-69,chinese,276.3
2017-01-01,both,65-69,indian,61.4
2017-01-01,both,65-69,other_citizen,4.0
2017-01-01,both,65-69,other_noncitizen,21.5
2017-01-01,both,70-74,overall,527.9
2017-01-01,both,70-74,bumi_malay,235.0
2017-01-01,both,70-74,bumi_other,48.9
2017-01-01,both,70-74,chinese,193.9
2017-01-01,both,70-74,indian,35.7
2017-01-01,both,70-74,other_citizen,2.6
2017-01-01,both,70-74,other_noncitizen,11.8
2017-01-01,both,75-79,overall,334.9
2017-01-01,both,75-79,bumi_malay,148.4
2017-01-01,both,75-79,bumi_other,31.4
2017-01-01,both,75-79,chinese,126.5
2017-01-01,both,75-79,indian,20.0
2017-01-01,both,75-79,other_citizen,1.6
2017-01-01,both,75-79,other_noncitizen,7.1
2017-01-01,both,80-84,overall,180.5
2017-01-01,both,80-84,bumi_malay,74.6
2017-01-01,both,80-84,bumi_other,18.0
2017-01-01,both,80-84,chinese,69.5
2017-01-01,both,80-84,indian,12.0
2017-01-01,both,80-84,other_citizen,0.8
2017-01-01,both,80-84,other_noncitizen,5.6
2017-01-01,both,85+,overall,142.6
2017-01-01,both,85+,bumi_malay,65.3
2017-01-01,both,85+,bumi_other,17.3
2017-01-01,both,85+,chinese,41.7
2017-01-01,both,85+,indian,9.6
2017-01-01,both,85+,other_citizen,1.0
2017-01-01,both,85+,other_noncitizen,7.6
2017-01-01,female,overall,overall,15479.8
2017-01-01,female,overall,bumi_malay,7969.4
2017-01-01,female,overall,bumi_other,1842.1
2017-01-01,female,overall,chinese,3243.9
2017-01-01,female,overall,indian,1006.0
2017-01-01,female,overall,other_citizen,140.2
2017-01-01,female,overall,other_noncitizen,1278.3
2017-01-01,female,0-4,overall,1263.5
2017-01-01,female,0-4,bumi_malay,785.9
2017-01-01,female,0-4,bumi_other,159.4
2017-01-01,female,0-4,chinese,171.3
2017-01-01,female,0-4,indian,56.2
2017-01-01,female,0-4,other_citizen,20.5
2017-01-01,female,0-4,other_noncitizen,70.2
2017-01-01,female,5-9,overall,1225.8
2017-01-01,female,5-9,bumi_malay,719.9
2017-01-01,female,5-9,bumi_other,175.3
2017-01-01,female,5-9,chinese,195.7
2017-01-01,female,5-9,indian,69.5
2017-01-01,female,5-9,other_citizen,19.5
2017-01-01,female,5-9,other_noncitizen,45.9
2017-01-01,female,10-14,overall,1255.8
2017-01-01,female,10-14,bumi_malay,721.3
2017-01-01,female,10-14,bumi_other,186.8
2017-01-01,female,10-14,chinese,225.3
2017-01-01,female,10-14,indian,79.1
2017-01-01,female,10-14,other_citizen,15.7
2017-01-01,female,10-14,other_noncitizen,27.6
2017-01-01,female,15-19,overall,1383.5
2017-01-01,female,15-19,bumi_malay,741.1
2017-01-01,female,15-19,bumi_other,184.0
2017-01-01,female,15-19,chinese,249.6
2017-01-01,female,15-19,indian,84.4
2017-01-01,female,15-19,other_citizen,13.4
2017-01-01,female,15-19,other_noncitizen,111.1
2017-01-01,female,20-24,overall,1537.5
2017-01-01,female,20-24,bumi_malay,743.6
2017-01-01,female,20-24,bumi_other,186.6
2017-01-01,female,20-24,chinese,261.3
2017-01-01,female,20-24,indian,88.5
2017-01-01,female,20-24,other_citizen,12.7
2017-01-01,female,20-24,other_noncitizen,244.8
2017-01-01,female,25-29,overall,1507.3
2017-01-01,female,25-29,bumi_malay,724.3
2017-01-01,female,25-29,bumi_other,171.8
2017-01-01,female,25-29,chinese,267.2
2017-01-01,female,25-29,indian,89.3
2017-01-01,female,25-29,other_citizen,12.2
2017-01-01,female,25-29,other_noncitizen,242.5
2017-01-01,female,30-34,overall,1348.1
2017-01-01,female,30-34,bumi_malay,662.7
2017-01-01,female,30-34,bumi_other,158.5
2017-01-01,female,30-34,chinese,267.1
2017-01-01,female,30-34,indian,87.8
2017-01-01,female,30-34,other_citizen,10.6
2017-01-01,female,30-34,other_noncitizen,161.4
2017-01-01,female,35-39,overall,1108.5
2017-01-01,female,35-39,bumi_malay,526.5
2017-01-01,female,35-39,bumi_other,125.5
2017-01-01,female,35-39,chinese,241.8
2017-01-01,female,35-39,indian,78.3
2017-01-01,female,35-39,other_citizen,7.9
2017-01-01,female,35-39,other_noncitizen,128.5
2017-01-01,female,40-44,overall,933.8
2017-01-01,female,40-44,bumi_malay,442.7
2017-01-01,female,40-44,bumi_other,103.9
2017-01-01,female,40-44,chinese,223.0
2017-01-01,female,40-44,indian,66.6
2017-01-01,female,40-44,other_citizen,5.9
2017-01-01,female,40-44,other_noncitizen,91.7
2017-01-01,female,45-49,overall,874.0
2017-01-01,female,45-49,bumi_malay,423.7
2017-01-01,female,45-49,bumi_other,96.9
2017-01-01,female,45-49,chinese,225.9
2017-01-01,female,45-49,indian,66.2
2017-01-01,female,45-49,other_citizen,5.4
2017-01-01,female,45-49,other_noncitizen,56.0
2017-01-01,female,50-54,overall,790.0
2017-01-01,female,50-54,bumi_malay,388.5
2017-01-01,female,50-54,bumi_other,83.8
2017-01-01,female,50-54,chinese,212.9
2017-01-01,female,50-54,indian,62.9
2017-01-01,female,50-54,other_citizen,4.9
2017-01-01,female,50-54,other_noncitizen,37.0
2017-01-01,female,55-59,overall,677.9
2017-01-01,female,55-59,bumi_malay,335.0
2017-01-01,female,55-59,bumi_other,68.7
2017-01-01,female,55-59,chinese,190.0
2017-01-01,female,55-59,indian,56.9
2017-01-01,female,55-59,other_citizen,4.0
2017-01-01,female,55-59,other_noncitizen,23.3
